name,location,releaseYear,rating,length,genre,Streaming Service,serverId
Mr. Sunshine,South Korea,2018,0,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",Netflix,0
First Team: Juventus,United States,2018,0,2 Seasons,"Docuseries, International TV Shows",Netflix,0
NCIS,United States,2017,0,15 Seasons,"Crime TV Shows, TV Dramas, TV Mysteries",Netflix,0
Somewhere Between,United States,2017,0,1 Season,"Crime TV Shows, TV Dramas, TV Mysteries",Netflix,0
Churchill’s Secret Agents: The New Recruits,United Kingdom,2018,0,1 Season,"British TV Shows, International TV Shows, Reality TV",Netflix,0
Kiss Me First,"United Kingdom, United States",2018,0,1 Season,"British TV Shows, Crime TV Shows, International TV Shows",Netflix,0
Hotel Transylvania,"United States, Canada",2017,0,1 Season,"Kids' TV, TV Comedies",Netflix,0
Borges,Brazil,2018,0,1 Season,"International TV Shows, TV Comedies",Netflix,0
Life Sentence,United States,2018,0,1 Season,TV Dramas,Netflix,0
Marvel's Luke Cage,United States,2018,0,2 Seasons,"Crime TV Shows, TV Action & Adventure, TV Dramas",Netflix,0
Club de Cuervos Presents: The Ballad of Hugo Sánchez,United States,2018,0,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Comedies",Netflix,0
True: Magical Friends,,2018,0,1 Season,Kids' TV,Netflix,0
True: Wonderful Wishes,,2018,0,1 Season,Kids' TV,Netflix,0
The Staircase,France,2018,0,1 Season,"Crime TV Shows, Docuseries, TV Mysteries",Netflix,0
The Night Shift,United States,2017,0,4 Seasons,TV Dramas,Netflix,0
Dinosaur King,Japan,2008,0,2 Seasons,"Anime Series, Kids' TV",Netflix,0
November 13: Attack on Paris,France,2018,0,1 Season,"Crime TV Shows, Docuseries, International TV Shows",Netflix,0
Unbreakable Kimmy Schmidt,United States,2019,0,4 Seasons,TV Comedies,Netflix,0
Arrested Development,United States,2019,0,5 Seasons,TV Comedies,Netflix,0
The Break with Michelle Wolf,United States,2018,0,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies",Netflix,0
Something in the Rain,South Korea,2018,0,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",Netflix,0
Trollhunters,"United States, Mexico",2018,0,3 Seasons,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy",Netflix,0
Mob Psycho 100,Japan,2018,0,1 Season,"International TV Shows, TV Action & Adventure, TV Comedies",Netflix,0
Dance & Sing with True,,2018,0,1 Season,Kids' TV,Netflix,0
Inspector Gadget,"Canada, United States, France",2017,0,4 Seasons,"Crime TV Shows, Kids' TV, TV Comedies",Netflix,0
Saint Seiya: The Lost Canvas,Japan,2009,0,1 Season,"Anime Series, International TV Shows",Netflix,0
Bill Nye Saves the World,United States,2018,0,3 Seasons,Stand-Up Comedy & Talk Shows,Netflix,0
Evil Genius,United States,2018,0,1 Season,"Crime TV Shows, Docuseries, TV Mysteries",Netflix,0
The Who Was? Show,United States,2018,0,1 Season,"Kids' TV, TV Comedies",Netflix,0
A Little Help with Carol Burnett,United States,2018,0,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies",Netflix,0
Kong: King of the Apes,"United States, Japan, Canada",2018,0,2 Seasons,Kids' TV,Netflix,0
Simon,France,2016,0,1 Season,Kids' TV,Netflix,0
Spiritual House,,2017,0,1 Season,"International TV Shows, Stand-Up Comedy & Talk Shows",Netflix,0
Black Crows,"Saudi Arabia, Syria, Egypt, Lebanon, Kuwait",2017,0,1 Season,"International TV Shows, TV Dramas",Netflix,0
Bobby Kennedy for President,,2018,0,1 Season,Docuseries,Netflix,0
Goodnight DJ 1,,2016,0,2 Seasons,"International TV Shows, TV Dramas, TV Horror",Netflix,0
Moving On,,2016,0,1 Season,"International TV Shows, TV Dramas",Netflix,0
Trio and a Bed,,2016,0,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",Netflix,0
海的儿子,,2016,0,1 Season,"International TV Shows, TV Dramas",Netflix,0
Charité,Germany,2017,0,1 Season,"International TV Shows, TV Dramas",Netflix,0
The Chalet,France,2018,0,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Netflix,0
The Honeymoon Stand Up Special,United States,2018,0,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies",Netflix,0
The Magic School Bus Rides Again,United States,2018,0,2 Seasons,Kids' TV,Netflix,0
AMO,Philippines,2017,0,1 Season,"International TV Shows, TV Dramas",Netflix,0
Troy,"United Kingdom, South Africa, Australia, United States",2018,0,1 Season,"British TV Shows, International TV Shows, Romantic TV Shows",Netflix,0
Wakfu,France,2017,0,3 Seasons,Kids' TV,Netflix,0
Star Trek: The Next Generation,United States,1993,0,7 Seasons,"TV Action & Adventure, TV Sci-Fi & Fantasy",Netflix,0
Fallet,Sweden,2017,0,1 Season,"Crime TV Shows, International TV Shows, TV Comedies",Netflix,0
Loaded,United Kingdom,2017,0,1 Season,"British TV Shows, International TV Shows, TV Comedies",Netflix,0
Doctor Foster,United Kingdom,2017,0,2 Seasons,"British TV Shows, International TV Shows, Romantic TV Shows",Netflix,0
Rapture,United States,2018,0,1 Season,Docuseries,Netflix,0
Trailer Park Boys,Canada,2018,0,12 Seasons,"Classic & Cult TV, Crime TV Shows, International TV Shows",Netflix,0
Trump: An American Dream,United Kingdom,2018,0,1 Season,Docuseries,Netflix,0
James Acaster: Repertoire,United Kingdom,2018,0,1 Season,"British TV Shows, International TV Shows, Stand-Up Comedy & Talk Shows",Netflix,0
Requiem,United Kingdom,2018,0,1 Season,"British TV Shows, International TV Shows, TV Dramas",Netflix,0
The Standups,United States,2018,0,2 Seasons,"Stand-Up Comedy & Talk Shows, TV Comedies",Netflix,0
Edha,Argentina,2018,0,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas",Netflix,0
Wild Wild Country,United States,2018,0,1 Season,"Crime TV Shows, Docuseries",Netflix,0
Secret of the Nile,Egypt,2016,0,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",Netflix,0
Tabula Rasa,Belgium,2017,0,1 Season,"International TV Shows, TV Dramas, TV Mysteries",Netflix,0
Children of the Whales,Japan,2017,0,1 Season,"Anime Series, International TV Shows",Netflix,0
A.I.C.O.,Japan,2018,0,1 Season,"Anime Series, International TV Shows",Netflix,0
Collateral,"United Kingdom, United States",2018,0,1 Season,"British TV Shows, Crime TV Shows, International TV Shows",Netflix,0
Bad Guys: Vile City,South Korea,2018,0,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows",Netflix,0
Borderliner,"Norway, Germany, Sweden",2017,0,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Netflix,0
Flint Town,United States,2018,0,1 Season,"Docuseries, Science & Nature TV",Netflix,0
21 Thunder,Canada,2017,0,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Netflix,0
Best Lover,"South Korea, China",2016,0,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",Netflix,0
Marseille,France,2018,0,2 Seasons,"International TV Shows, TV Dramas, TV Thrillers",Netflix,0
Seven Seconds,United States,2018,0,1 Season,"Crime TV Shows, TV Dramas",Netflix,0
Hitler's Circle of Evil,United Kingdom,2017,0,1 Season,"British TV Shows, Docuseries, International TV Shows",Netflix,0
The Frankenstein Chronicles,United Kingdom,2017,0,2 Seasons,"British TV Shows, Crime TV Shows, International TV Shows",Netflix,0
Dragons: Race to the Edge,United States,2018,0,6 Seasons,"Kids' TV, TV Action & Adventure",Netflix,0
Everything Sucks!,United States,2018,0,1 Season,"TV Comedies, TV Dramas, Teen TV Shows",Netflix,0
Re:Mind,Japan,2017,0,1 Season,"International TV Shows, TV Dramas, TV Mysteries",Netflix,0
Valor,United States,2017,0,1 Season,"TV Action & Adventure, TV Dramas",Netflix,0
Coach Snoop,United States,2018,0,1 Season,"Docuseries, Reality TV",Netflix,0
Under Arrest,United States,2016,0,8 Seasons,"Crime TV Shows, Docuseries, International TV Shows",Netflix,0
Retribution,United Kingdom,2016,0,1 Season,"British TV Shows, Crime TV Shows, International TV Shows",Netflix,0
The Adventures of Puss in Boots,United States,2018,0,6 Seasons,"Kids' TV, TV Comedies",Netflix,0
Prison Playbook,South Korea,2017,0,1 Season,"International TV Shows, Korean TV Shows, TV Comedies",Netflix,0
The Shannara Chronicles,"United States, New Zealand",2018,0,2 Seasons,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy",Netflix,0
Love and Hong Kong,Japan,2017,0,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",Netflix,0
Tiempos de guerra,Spain,2017,0,1 Season,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",Netflix,0
Godzilla,Japan,2017,0,1 Season,TV Shows,Netflix,0
Disjointed,United States,2018,0,2 Seasons,TV Comedies,Netflix,0
Tundukkan Playboy Itu,,2016,0,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",Netflix,0
Episodes,"United Kingdom, United States",2017,0,5 Seasons,"Classic & Cult TV, TV Comedies",Netflix,0
Devilman Crybaby,Japan,2018,0,1 Season,"Anime Series, International TV Shows, TV Horror",Netflix,0
Fullmetal Alchemist,Japan,2003,0,1 Season,"Anime Series, International TV Shows",Netflix,0
Fullmetal Alchemist: Brotherhood,Japan,2010,0,5 Seasons,"Anime Series, International TV Shows",Netflix,0
Lovesick,United Kingdom,2018,0,3 Seasons,"British TV Shows, International TV Shows, Romantic TV Shows",Netflix,0
Pokémon: Indigo League,Japan,2000,0,1 Season,"Anime Series, Kids' TV",Netflix,0
The Frozen Dead,France,2017,0,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Netflix,0
Dave Chappelle: Equanimity & The Bird Revelation,United States,2017,0,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies",Netflix,0
La Mante,France,2017,0,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Netflix,0
Wadi,,2015,0,1 Season,"International TV Shows, TV Dramas",Netflix,0
Part-Time Idol,,2017,0,1 Season,"International TV Shows, Korean TV Shows, TV Comedies",Netflix,0
Myths & Monsters,United Kingdom,2017,0,1 Season,"British TV Shows, Docuseries",Netflix,0
72 Dangerous Animals: Latin America,"Australia, United States",2017,0,1 Season,"Docuseries, International TV Shows, Science & Nature TV",Netflix,0
The Indian Detective,"Canada, Germany, South Africa",2017,0,1 Season,"Crime TV Shows, International TV Shows, TV Comedies",Netflix,0
"Hello, My Twenties!",South Korea,2017,0,2 Seasons,"International TV Shows, Korean TV Shows, Romantic TV Shows",Netflix,0
Cheuk Wan-Chi: Two Night Stand,,2015,0,1 Season,"International TV Shows, Stand-Up Comedy & Talk Shows, TV Comedies",Netflix,0
Wormwood,United States,2017,0,1 Season,"Crime TV Shows, Docuseries",Netflix,0
Halt and Catch Fire,United States,2017,0,4 Seasons,TV Dramas,Netflix,0
Dawai Asmara,,2016,0,1 Season,"International TV Shows, TV Dramas",Netflix,0
All Hail King Julien,United States,2017,0,5 Seasons,"Kids' TV, TV Comedies",Netflix,0
Dhia Sofea,Malaysia,2015,0,1 Season,"International TV Shows, TV Dramas",Netflix,0
Kantaro: The Sweet Tooth Salaryman,Japan,2017,0,1 Season,"International TV Shows, TV Comedies",Netflix,0
Oggy and the Cockroaches,France,2017,0,1 Season,"Kids' TV, TV Comedies",Netflix,0
Padamu Aku Bersujud,,2015,0,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",Netflix,0
TURN: Washington's Spies,United States,2017,0,4 Seasons,TV Dramas,Netflix,0
Man Down,United Kingdom,2017,0,4 Seasons,"British TV Shows, International TV Shows, TV Comedies",Netflix,0
Broadchurch,United Kingdom,2017,0,3 Seasons,"British TV Shows, Crime TV Shows, International TV Shows",Netflix,0
The Many Faces of Ito,Japan,2017,0,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",Netflix,0
Trailer Park Boys: Out of the Park: USA,,2017,0,1 Season,"International TV Shows, TV Comedies",Netflix,0
Bright: The Music Videos,,2017,0,1 Season,TV Shows,Netflix,0
Argon,South Korea,2017,0,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",Netflix,0
Godless,United States,2017,0,1 Season,TV Dramas,Netflix,0
Longmire,United States,2017,0,6 Seasons,"Crime TV Shows, TV Dramas",Netflix,0
Luna Petunia,United States,2017,0,3 Seasons,Kids' TV,Netflix,0
Shot in the Dark,United States,2017,0,1 Season,Reality TV,Netflix,0
The Irregular at Magic High School,Japan,2014,0,1 Season,"Anime Series, International TV Shows, Teen TV Shows",Netflix,0
The Method,Russia,2015,0,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Netflix,0
Blazing Transfer Students,Japan,2017,0,1 Season,"International TV Shows, TV Action & Adventure, TV Comedies",Netflix,0
Glitter Force Doki Doki,Japan,2017,0,2 Seasons,"Anime Series, Kids' TV",Netflix,0
Lady Dynamite,United States,2017,0,2 Seasons,TV Comedies,Netflix,0
Fate/Apocrypha,Japan,2017,0,2 Seasons,"Anime Series, International TV Shows",Netflix,0
Project Mc²,United States,2017,0,6 Seasons,Kids' TV,Netflix,0
Akulah Balqis,,2015,0,1 Season,"International TV Shows, TV Dramas",Netflix,0
Alias Grace,Canada,2017,0,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Netflix,0
The Family Court,,2010,0,1 Season,"International TV Shows, TV Dramas",Netflix,0
The Golden Path,,2007,0,1 Season,"International TV Shows, TV Dramas",Netflix,0
The Little Nyonya,,2009,0,1 Season,"International TV Shows, TV Dramas",Netflix,0
The Truth,,2008,0,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",Netflix,0
Together,Singapore,2009,0,1 Season,"International TV Shows, TV Dramas",Netflix,0
Beyond Stranger Things,United States,2017,0,1 Season,"Stand-Up Comedy & Talk Shows, TV Mysteries, TV Sci-Fi & Fantasy",Netflix,0
The Mist,"Canada, United States",2017,0,1 Season,"TV Dramas, TV Horror, TV Mysteries",Netflix,0
W1A,United Kingdom,2017,0,3 Seasons,"British TV Shows, TV Comedies",Netflix,0
Haters Back Off,United States,2017,0,2 Seasons,"TV Comedies, Teen TV Shows",Netflix,0
The Day I Met El Chapo,United States,2017,0,1 Season,"Crime TV Shows, Docuseries, International TV Shows",Netflix,0
In Laws,,2016,0,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",Netflix,0
Laws of Attraction,,2012,0,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",Netflix,0
Seven and Me,France,2017,0,1 Season,Kids' TV,Netflix,0
West Coast Customs,United States,2015,0,6 Seasons,"Docuseries, Reality TV",Netflix,0
ID-0,Japan,2017,0,1 Season,"Anime Series, International TV Shows",Netflix,0
Kibaoh Klashers,China,2017,0,2 Seasons,Kids' TV,Netflix,0
Beyblade Burst,Japan,2016,0,1 Season,"Anime Series, Kids' TV",Netflix,0
Equestria Girls: Tales of Canterlot High,"United States, Canada",2017,0,1 Season,"Kids' TV, TV Comedies",Netflix,0
Justice in the City,,2012,0,1 Season,"International TV Shows, TV Dramas",Netflix,0
Noddy Toyland Detective,"France, United Kingdom, United States",2016,0,2 Seasons,Kids' TV,Netflix,0
Star Trek: Enterprise,United States,2004,0,4 Seasons,"Classic & Cult TV, TV Action & Adventure, TV Sci-Fi & Fantasy",Netflix,0
Star Trek: Voyager,United States,2000,0,7 Seasons,"TV Action & Adventure, TV Sci-Fi & Fantasy",Netflix,0
Sudden,Singapore,2013,0,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",Netflix,0
The Dream Catchers,Singapore,2009,0,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",Netflix,0
What She Put on the Table,Taiwan,2017,0,1 Season,"International TV Shows, TV Dramas",Netflix,0
The Royal House of Windsor,United Kingdom,2017,0,1 Season,"British TV Shows, Docuseries, International TV Shows",Netflix,0
Mak Cun,,2015,0,1 Season,"International TV Shows, TV Comedies, TV Dramas",Netflix,0
Paul Hollywood's Big Continental Road Trip,United Kingdom,2017,0,1 Season,"British TV Shows, Docuseries, International TV Shows",Netflix,0
Real Rob,United States,2017,0,2 Seasons,TV Comedies,Netflix,0
Satu Hari,,2014,0,1 Season,"International TV Shows, TV Dramas",Netflix,0
Terrace House: Aloha State,"United States, Japan",2017,0,4 Seasons,"International TV Shows, Reality TV",Netflix,0
Dark Matter,Canada,2017,0,3 Seasons,"TV Sci-Fi & Fantasy, TV Thrillers",Netflix,0
VeggieTales in the City,United States,2017,0,2 Seasons,Kids' TV,Netflix,0
Offspring,Australia,2017,0,7 Seasons,"TV Comedies, TV Dramas",Netflix,0
Apaches,Spain,2016,0,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Netflix,0
Fire Chasers,United States,2017,0,1 Season,"Docuseries, Science & Nature TV",Netflix,0
No Tomorrow,United States,2016,0,1 Season,"Romantic TV Shows, TV Comedies, TV Dramas",Netflix,0
Reign,United States,2017,0,4 Seasons,TV Dramas,Netflix,0
Frequency,United States,2016,0,1 Season,"Crime TV Shows, TV Dramas, TV Mysteries",Netflix,0
The Vampire Diaries,United States,2016,0,8 Seasons,"TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy",Netflix,0
A Boy Name Flora A,Taiwan,2017,0,1 Season,"International TV Shows, TV Comedies, TV Dramas",Netflix,0
A House of Blocks,Taiwan,2017,0,1 Season,"International TV Shows, TV Dramas, TV Horror",Netflix,0
FINAL FANTASY XIV Dad of Light,Japan,2017,0,1 Season,"International TV Shows, TV Dramas",Netflix,0
Gurren Lagann,Japan,2007,0,1 Season,"Anime Series, International TV Shows",Netflix,0
High Risk,United States,1988,0,1 Season,"Docuseries, Reality TV",Netflix,0
LEGO Elves: Secrets of Elvendale,United States,2017,0,1 Season,Kids' TV,Netflix,0
Narcos,"United States, Colombia, Mexico",2017,0,3 Seasons,"Crime TV Shows, TV Action & Adventure, TV Dramas",Netflix,0
Dinotrux,United States,2017,0,5 Seasons,Kids' TV,Netflix,0
Marvel's The Defenders,United States,2017,0,1 Season,"Crime TV Shows, TV Action & Adventure, TV Dramas",Netflix,0
20 Minutes,Turkey,2013,0,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Netflix,0
Million Yen Women,Japan,2017,0,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Netflix,0
Wet Hot American Summer: Ten Years Later,United States,2017,0,1 Season,TV Comedies,Netflix,0
Bountiful Blessings,Singapore,2011,0,1 Season,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",Netflix,0
Close Your Eyes Before It’s Dark,Taiwan,2016,0,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Netflix,0
Entangled,South Korea,2014,0,1 Season,"International TV Shows, TV Dramas",Netflix,0
Fartsa,Russia,2015,0,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Netflix,0
"Have You Ever Fallen in Love, Miss Jiang?",,2016,0,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Netflix,0
Life Plan A and B,Taiwan,2016,0,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",Netflix,0
Locust,Russia,2014,0,1 Season,"Crime TV Shows, International TV Shows, Romantic TV Shows",Netflix,0
Love Storm,,2016,0,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",Netflix,0
Surviving Escobar - Alias JJ,,2017,0,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Netflix,0
The In-Laws,Singapore,2011,0,1 Season,"International TV Shows, TV Dramas",Netflix,0
The IT Crowd,United Kingdom,2013,0,5 Seasons,"British TV Shows, Classic & Cult TV, International TV Shows",Netflix,0
Vexed,United Kingdom,2012,0,2 Seasons,"British TV Shows, Crime TV Shows, International TV Shows",Netflix,0
World War II in Colour,United Kingdom,2009,0,1 Season,"British TV Shows, Docuseries, International TV Shows",Netflix,0
Daughters of Destiny,United States,2017,0,1 Season,Docuseries,Netflix,0
Ari Shaffir: Double Negative,United States,2017,0,1 Season,Stand-Up Comedy & Talk Shows,Netflix,0
Dawn of the Croods,United States,2017,0,4 Seasons,Kids' TV,Netflix,0
Degrassi: Next Class,Canada,2017,0,4 Seasons,"International TV Shows, TV Dramas, Teen TV Shows",Netflix,0
Diamond Lover,China,2015,0,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",Netflix,0
King’s War,China,2012,0,1 Season,"International TV Shows, TV Dramas",Netflix,0
Qin Empire: Alliance,China,2012,0,1 Season,"International TV Shows, TV Dramas",Netflix,0
The Legend of Bruce Lee,China,2008,0,1 Season,"International TV Shows, TV Action & Adventure, TV Dramas",Netflix,0
46,Turkey,2016,0,1 Season,"International TV Shows, TV Dramas, TV Mysteries",Netflix,0
Against the Tide,Singapore,2014,0,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Netflix,0
Barbie Life in the Dreamhouse,"United States, Canada",2012,0,1 Season,"Kids' TV, TV Comedies",Netflix,0
Breakout,,2010,0,1 Season,"International TV Shows, TV Dramas",Netflix,0
Intersection,Turkey,2016,0,3 Seasons,"International TV Shows, Romantic TV Shows, TV Dramas",Netflix,0
Learning Songs by Little Baby Bum: Nursery Rhyme Friends,United Kingdom,2015,0,1 Season,"British TV Shows, Kids' TV",Netflix,0
Mystic Whispers,Singapore,2014,0,1 Season,"International TV Shows, TV Dramas, TV Horror",Netflix,0
Spice Up,,2014,0,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",Netflix,0
The Oath,Singapore,2011,0,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",Netflix,0
The Truth Seekers,Singapore,2016,0,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Netflix,0
The Ultimatum,Singapore,2009,0,1 Season,"International TV Shows, TV Dramas",Netflix,0
Unriddle,Singapore,2012,0,2 Seasons,"Crime TV Shows, International TV Shows, TV Dramas",Netflix,0
World at Your Feet,Singapore,2014,0,1 Season,"International TV Shows, TV Dramas",Netflix,0
Yes We Can!,Singapore,2014,0,1 Season,"International TV Shows, TV Dramas",Netflix,0
Yours Fatefully,Singapore,2012,0,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",Netflix,0
Criminal Minds,"United States, Canada",2017,0,12 Seasons,"Crime TV Shows, TV Dramas, TV Mysteries",Netflix,0
Gypsy,"United States, United Kingdom",2017,0,1 Season,TV Dramas,Netflix,0
Little Witch Academia,Japan,2017,0,2 Seasons,"Anime Series, International TV Shows",Netflix,0
Young & Hungry,United States,2017,0,5 Seasons,TV Comedies,Netflix,0
Pac-Man and the Ghostly Adventures,"United States, Japan, Canada",2014,0,2 Seasons,"Kids' TV, TV Comedies",Netflix,0
Aquarius,United States,2016,0,2 Seasons,"Crime TV Shows, TV Dramas",Netflix,0
World of Winx,"Italy, United States",2017,0,2 Seasons,Kids' TV,Netflix,0
28 Moons,South Korea,2016,0,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",Netflix,0
Magic Phone,South Korea,2016,0,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",Netflix,0
Man to Man,South Korea,2017,0,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows",Netflix,0
My Little Baby,South Korea,2016,0,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows",Netflix,0
Singles Villa,China,2015,0,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",Netflix,0
Under the Black Moonlight,South Korea,2016,0,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",Netflix,0
My Only Love Song,South Korea,2017,0,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",Netflix,0
Crashing,United Kingdom,2016,0,1 Season,"British TV Shows, International TV Shows, Romantic TV Shows",Netflix,0
Flaked,United States,2017,0,2 Seasons,"TV Comedies, TV Dramas",Netflix,0
Mind Game,Singapore,2015,0,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",Netflix,0
Miniforce,,2016,0,1 Season,"Kids' TV, Korean TV Shows",Netflix,0
Off Camera,United States,2015,0,3 Seasons,Stand-Up Comedy & Talk Shows,Netflix,0
The Day Will Come,Denmark,2016,0,1 Season,"International TV Shows, TV Dramas",Netflix,0
The Dream Job,Singapore,2016,0,1 Season,"International TV Shows, TV Dramas",Netflix,0
Bloodline,United States,2017,0,3 Seasons,"TV Dramas, TV Mysteries, TV Thrillers",Netflix,0
Highland: Thailand's Marijuana Awakening,Thailand,2017,0,1 Season,"Docuseries, International TV Shows",Netflix,0
The Keepers,United States,2017,0,1 Season,"Crime TV Shows, Docuseries, TV Mysteries",Netflix,0
All Hail King Julien: Exiled,,2017,0,1 Season,"Kids' TV, TV Action & Adventure, TV Comedies",Netflix,0
Kazoops!,Australia,2017,0,3 Seasons,Kids' TV,Netflix,0
Jumping Girl,South Korea,2015,0,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",Netflix,0
President,South Korea,2010,0,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",Netflix,0
What in the World Happened?,South Korea,2015,0,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",Netflix,0
Mar de Plástico,Spain,2017,0,2 Seasons,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",Netflix,0
Fangbone,Canada,2016,0,1 Season,"Kids' TV, TV Comedies",Netflix,0
Girlboss,United States,2017,0,1 Season,TV Comedies,Netflix,0
Hot Girls Wanted: Turned On,United States,2017,0,1 Season,Docuseries,Netflix,0
The Mr. Peabody and Sherman Show,United States,2017,0,4 Seasons,"Kids' TV, TV Comedies",Netflix,0
The Miracle,South Korea,2016,0,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",Netflix,0
The Get Down,United States,2017,0,2 Seasons,TV Dramas,Netflix,0
Burned Cocoon,Turkey,2005,0,1 Season,"International TV Shows, TV Dramas",Netflix,0
Five Came Back,,2017,0,1 Season,Docuseries,Netflix,0
Hoff the Record,United Kingdom,2016,0,2 Seasons,"British TV Shows, TV Comedies",Netflix,0
Bottersnikes & Gumbles,"United States, United Kingdom, Australia",2017,0,2 Seasons,"British TV Shows, Kids' TV",Netflix,0
Dave Chappelle,United States,2017,0,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies",Netflix,0
One-Punch Man,Japan,2015,0,1 Season,"Anime Series, Crime TV Shows, International TV Shows",Netflix,0
Julie's Greenroom,United States,2017,0,1 Season,Kids' TV,Netflix,0
Outback Truckers,Australia,2015,0,3 Seasons,Reality TV,Netflix,0
Samurai Gourmet,Japan,2017,0,1 Season,"International TV Shows, TV Dramas",Netflix,0
Cheer Squad,United States,2016,0,1 Season,"Reality TV, Teen TV Shows",Netflix,0
Buddy Thunderstruck,United States,2017,0,1 Season,"Kids' TV, TV Comedies",Netflix,0
One More Time,South Korea,2016,0,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",Netflix,0
Love Is in the Air,United Kingdom,2010,0,1 Season,"International TV Shows, TV Dramas",Netflix,0
Tong: Memories,South Korea,2016,0,1 Season,"International TV Shows, Korean TV Shows, TV Action & Adventure",Netflix,0
Legend Quest,Mexico,2017,0,1 Season,Kids' TV,Netflix,0
The Sound of Your Heart,South Korea,2016,0,1 Season,"International TV Shows, Korean TV Shows, TV Comedies",Netflix,0
Love Me As I Am,Turkey,2015,0,3 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies",Netflix,0
Love for Ten: Generation of Youth,South Korea,2013,0,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",Netflix,0
Nightmare High,South Korea,2016,0,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",Netflix,0
Spark,South Korea,2016,0,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",Netflix,0
White Nights,South Korea,2016,0,1 Season,"International TV Shows, Korean TV Shows, TV Dramas",Netflix,0
Cyborg 009: Call of Justice,Japan,2017,0,1 Season,"Anime Series, International TV Shows",Netflix,0
We're Lalaloopsy,United States,2017,0,1 Season,"Kids' TV, TV Comedies",Netflix,0
